汉字,阶段,单元,课题,例词,读音提示
我,1,C001,我爱我的家,我爱你,
爸,1,C001,我爱我的家,爸爸,
妈,1,C001,我爱我的家,妈妈,
家,1,C001,我爱我的家,回家,
门,1,C001,我爱我的家,开门,
人,1,C002,欢迎你来玩,家人,
你,1,C002,欢迎你来玩,你好,
好,1,C002,欢迎你来玩,好朋友,
来,1,C002,欢迎你来玩,来玩,
小,1,C002,欢迎你来玩,小手,
猫,1,C003,照顾小动物,小猫,
狗,1,C003,照顾小动物,小狗,
水,1,C003,照顾小动物,喝水,
喝,1,C003,照顾小动物,喝一口,喝水：hē
吃,1,C003,照顾小动物,吃饭,
鱼,1,C004,一起看一看,小鱼,
鸟,1,C004,一起看一看,小鸟,
看,1,C004,一起看一看,看一看,
有,1,C004,一起看一看,有鱼,
在,1,C004,一起看一看,在家,
的,1,C005,白天和夜晚,我的,我的：de
日,1,C005,白天和夜晚,日光,
月,1,C005,白天和夜晚,月亮,
山,1,C005,白天和夜晚,小山,
木,1,C005,白天和夜晚,木头,
花,1,C006,公园里找一找,小花,
草,1,C006,公园里找一找,小草,
上,1,C006,公园里找一找,上面,
下,1,C006,公园里找一找,下面,
大,1,C006,公园里找一找,大树,
一,1,C007,数一数手指,一个,
二,1,C007,数一数手指,二月,
三,1,C007,数一数手指,三个,
四,1,C007,数一数手指,四个,
五,1,C007,数一数手指,五个,
六,1,C008,再数五个数,六个,
七,1,C008,再数五个数,七个,
八,1,C008,再数五个数,八个,
九,1,C008,再数五个数,九个,
十,1,C008,再数五个数,十个,
头,1,C009,身体会说话,点头,
口,1,C009,身体会说话,一口,
耳,1,C009,身体会说话,耳朵,
目,1,C009,身体会说话,目光,
手,1,C009,身体会说话,小手,
眼,1,C010,我的小脸,眼睛,
鼻,1,C010,我的小脸,鼻子,
牙,1,C010,我的小脸,刷牙,
舌,1,C010,我的小脸,舌头,
脸,1,C010,我的小脸,洗脸,
脚,1,C011,身体动起来,小脚,
足,1,C011,身体动起来,足球,
身,1,C011,身体动起来,身体,
心,1,C011,身体动起来,爱心,
力,1,C011,身体动起来,力气,
天,1,C012,太阳出来了,天空,
太,1,C012,太阳出来了,太阳,
阳,1,C012,太阳出来了,阳光,
云,1,C012,太阳出来了,白云,
雨,1,C012,太阳出来了,下雨,
风,1,C013,风吹树叶,大风,
树,1,C013,风吹树叶,大树,
叶,1,C013,风吹树叶,树叶,
土,1,C013,风吹树叶,泥土,
石,1,C013,风吹树叶,石头,
红,1,C014,颜色朋友,红色,
黄,1,C014,颜色朋友,黄色,
蓝,1,C014,颜色朋友,蓝色,
绿,1,C014,颜色朋友,绿色,
