阶段	课题	目标字	例词（依次对应目标字）
1	我爱我的家	我爸妈家门	我爱你/爸爸/妈妈/回家/开门
1	欢迎你来玩	人你好来小	家人/你好/好朋友/来玩/小手
1	照顾小动物	猫狗水喝吃	小猫/小狗/喝水/喝一口/吃饭
1	一起看一看	鱼鸟看有在	小鱼/小鸟/看一看/有鱼/在家
1	白天和夜晚	的日月山木	我的/日光/月亮/小山/木头
1	公园里找一找	花草上下大	小花/小草/上面/下面/大树
1	数一数手指	一二三四五	一个/二月/三个/四个/五个
1	再数五个数	六七八九十	六个/七个/八个/九个/十个
1	身体会说话	头口耳目手	点头/一口/耳朵/目光/小手
1	我的小脸	眼鼻牙舌脸	眼睛/鼻子/刷牙/舌头/洗脸
1	身体动起来	脚足身心力	小脚/足球/身体/爱心/力气
1	太阳出来了	天太阳云雨	天空/太阳/阳光/白云/下雨
1	风吹树叶	风树叶土石	大风/大树/树叶/泥土/石头
1	颜色朋友	红黄蓝绿白	红色/黄色/蓝色/绿色/白色
1	穿好衣服	衣裤鞋袜帽	衣服/裤子/鞋子/袜子/帽子
1	吃饭啦	米饭面菜果	大米/米饭/面条/青菜/水果
1	坐好再出发	走跑坐去起	走路/跑步/坐下/去公园/起来
1	我们一起做	是了不也和	我是/好了/不要/也是/我和你
1	我的朋友们	他她它们个	他来/她来/它来/我们/一个
1	问一问再动手	这那哪谁什	这里/那里/哪里/谁来/什么
2	幼儿园的一天	园老师同学	公园/老师/教师/同学/学习
2	走进教室	校班课室桌	学校/班级/上课/教室/桌子
2	收好我的用品	椅书包笔本	椅子/书本/书包/铅笔/本子
2	读读画画	读写画听说	读书/写字/画画/听话/说话
2	开口表达	叫问答讲话	叫我/问好/回答/讲故事/说话
2	游戏时间	玩球拍跳踢	玩耍/皮球/拍手/跳一跳/踢球
2	轮流玩玩具	友朋给让等	朋友/亲朋/给你/让一让/等等
2	礼貌小客人	请谢对您么	请坐/谢谢/对不起/您好/什么
2	早起和休息	早晚午睡醒	早上/晚上/中午/睡觉/醒来
2	洗手前看看少了什么	洗刷毛巾没	洗手/刷牙/毛巾/纸巾/没有
2	干净的衣服	干净脏湿换	干衣服/干净/脏了/湿了/换衣服
2	洗澡和梳头	澡浴梳镜盆	洗澡/浴室/梳头/镜子/脸盆
2	认识厕所标识	男女便厕纸	男孩/女孩/方便/厕所/纸巾
2	午餐准备好	碗筷勺盘杯	饭碗/筷子/勺子/盘子/水杯
2	我的小床	床被枕灯窗	小床/被子/枕头/台灯/窗户
2	我会整理	放收拿带找	放好/收好/拿来/带上/找到
2	排队不着急	前后左右中	前面/后面/左边/右边/中间
2	游戏的顺序	先再次队排	先来/再见/一次/队伍/排队
2	保护自己	安危险痛病	安全/危险/冒险/疼痛/生病
2	爱和帮助说出来	帮忙告爱急	帮忙/连忙/告诉/爱心/着急
3	认识农场动物	牛羊马猪鸡	小牛/小羊/小马/小猪/小鸡
3	池塘边的朋友	鸭鹅兔蛙虫	鸭子/白鹅/兔子/青蛙/小虫
3	花丛里的昆虫	蚂蚁蜂蝴蝶	蚂蚁/蚂蚁/蜜蜂/蝴蝶/蝴蝶
